OBSNUM	XVAL	PROB_AVG	AREA1	AREACORR	AREATOT	PERCENT
67	0.335	0.00585165328907546	2.92582664453773e-05	3.00650341016481e-05	0.000720868461784612	0.8375
68	0.34	0.0060139041773057	3.00695208865285e-05	3.08852621125602e-05	0.000751753723897172	0.85
69	0.345	0.00617794150388635	3.08897075194318e-05	3.17143395592066e-05	0.000783468063456378	0.8625
70	0.35	0.00634374876156404	3.17187438078202e-05	3.25521843448223e-05	0.000816020247801201	0.875
71	0.355	0.00651130953079739	3.25565476539869e-05	3.33987148093183e-05	0.000849418962610519	0.8875
72	0.36	0.00668060747938091	3.34030373969046e-05	3.42538497274085e-05	0.000883672812337927	0.9
73	0.365	0.0068516263620704	3.4258131810352e-05	3.51175083067429e-05	0.00091879032064467	0.9125
74	0.37	0.00702435002020962	3.51217501010481e-05	3.59896101860494e-05	0.00095477993083072	0.925
75	0.375	0.00719876238135859	3.59938119067929e-05	3.68700754332813e-05	0.000991650006264001	0.9375
76	0.38	0.00737484745892314	3.68742372946157e-05	3.77588245437728e-05	0.00102940883080777	0.95
77	0.385	0.00755258935178596	3.77629467589298e-05	3.86557784384009e-05	0.00106806460924617	0.9625
78	0.39	0.00773197224393905	3.86598612196952e-05	3.9560858461755e-05	0.00110762546770793	0.975
79	0.395	0.00791298040411754	3.95649020205877e-05	4.04739863803128e-05	0.00114809945408824	0.9875
80	0.4	0.00809559818543493	4.04779909271747e-05	4.13950843806235e-05	0.00118949453846887	1
81	0.405	0.00827981002501976	4.13990501250988e-05	4.23240750674982e-05	0.00123181861353636	1.0125
82	0.41	0.00846560044365356	4.23280022182678e-05	4.32608814622064e-05	0.00127507949499857	1.025
83	0.415	0.00865295404541033	4.32647702270516e-05	4.42054270006807e-05	0.00131928492199925	1.0375
84	0.42	0.00884185551729727	4.42092775864864e-05	4.51576355317268e-05	0.00136444255753098	1.05
85	0.425	0.00903228962889698	4.51614481444849e-05	4.61174313152416e-05	0.00141055998884622	1.0625
86	0.43	0.00922424123201094	4.61212061600547e-05	4.70847390204376e-05	0.00145764472786666	1.075
87	0.435	0.00941769526030444	4.70884763015222e-05	4.80594837240743e-05	0.00150570421159073	1.0875
88	0.44	0.00961263672895282	4.80631836447641e-05	4.90415909086958e-05	0.00155474580249943	1.1
89	0.445	0.00980905073428906	4.90452536714453e-05	5.0030986460876e-05	0.0016047767889603	1.1125
90	0.45	0.0100069224534527	5.00346122672637e-05	5.10275966694699e-05	0.00165580438562977	1.125
91	0.455	0.0102062371440404	5.10311857202019e-05	5.2031348223872e-05	0.00170783573385365	1.1375
92	0.46	0.010406980143757	5.2034900718785e-05	5.3042168212281e-05	0.00176087790206593	1.15
93	0.465	0.0106091368700691	5.30456843503457e-05	5.40599841199712e-05	0.0018149378861859	1.1625
94	0.47	0.0108126928198592	5.40634640992961e-05	5.50847238275713e-05	0.00187002261001347	1.175
95	0.475	0.011017633569081	5.50881678454052e-05	5.61163156093482e-05	0.00192613892562282	1.1875
96	0.48	0.0112239447724169	5.61197238620843e-05	5.71546881314994e-05	0.00198329361375432	1.2
97	0.485	0.0114316121629356	5.7158060814678e-05	5.81997704504502e-05	0.00204149338420477	1.2125
98	0.49	0.0116406215517524	5.82031077587621e-05	5.92514920111582e-05	0.00210074487621592	1.225
99	0.495	0.0118509588276897	5.92547941384484e-05	6.03097826454248e-05	0.00216105465886135	1.2375
100	0.5	0.012062609956939	6.0313049784695e-05	6.1374572570212e-05	0.00222242923143156	1.25
101	0.505	0.0122755609827249	6.13778049136246e-05	6.24457923859666e-05	0.00228487502381753	1.2625
102	0.51	0.0124897980249695	6.24489901248474e-05	6.35233730749509e-05	0.00234839839689248	1.275
103	0.515	0.0127053072799585	6.35265363997923e-05	6.46072459995787e-05	0.00241300564289206	1.2875
104	0.52	0.0129220750200087	6.46103751000434e-05	6.56973429007593e-05	0.00247870298579282	1.3
105	0.525	0.0131400875931366	6.57004379656831e-05	6.67935958962465e-05	0.00254549658168906	1.3125
106	0.53	0.0133593314227283	6.67966571136414e-05	6.78959374789947e-05	0.00261339251916806	1.325
107	0.535	0.0135797930072105	6.78989650360525e-05	6.90043005155214e-05	0.00268239681968358	1.3375
